#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
1,Tarik Skubal,DET,15,7,2.55,32,32,0,0,,202.0,800,154,63,57,19,44,,8,247,10.97,1.97,0.98,30.9%,5.5%,23
2,Garrett Crochet,BOS,14,8,2.90,32,32,0,0,,199.0,806,162,70,64,20,53,,8,246,11.09,2.39,1.08,30.5%,6.6%,22
3,Paul Skenes,PIT,14,7,2.74,32,32,0,0,,191.0,771,152,64,58,17,51,,8,230,10.82,2.42,1.06,29.9%,6.7%,22
4,Cristopher Sanchez,PHI,15,8,3.09,32,32,0,0,,202.0,830,177,76,70,18,53,,8,206,9.16,2.34,1.13,24.8%,6.3%,21
5,Logan Webb,SFG,13,9,3.25,32,32,0,0,,205.0,846,191,81,74,17,48,,8,200,8.78,2.11,1.17,23.6%,5.7%,20
6,Hunter Greene,CIN,12,8,3.24,31,31,0,0,,179.0,731,135,70,64,24,61,,8,223,11.23,3.09,1.10,30.5%,8.4%,19
7,Framber Valdez,DET,13,9,3.52,31,31,0,0,,194.0,807,177,83,76,16,65,,8,181,8.44,3.02,1.25,22.5%,8.1%,19
8,Max Fried,NYY,14,9,3.32,31,31,0,0,,188.0,774,162,76,69,18,59,,8,181,8.69,2.81,1.17,23.4%,7.6%,19
9,Chris Sale,ATL,12,7,3.02,28,28,0,0,,162.0,666,130,59,54,18,47,,7,198,10.99,2.61,1.09,29.8%,7.1%,18
10,Hunter Brown,HOU,12,9,3.36,31,31,0,0,,182.0,754,154,74,68,19,61,,8,198,9.82,3.02,1.19,26.3%,8.1%,19
11,Bryan Woo,SEA,14,9,3.14,32,32,0,0,,197.0,798,162,75,69,24,45,,8,208,9.46,2.03,1.05,26.0%,5.6%,21
12,Sonny Gray,BOS,12,9,3.68,31,31,0,0,,177.0,741,166,79,72,21,49,,7,188,9.55,2.48,1.21,25.3%,6.6%,18
13,Jesus Luzardo,PHI,13,9,3.48,31,31,0,0,,178.0,737,150,75,69,22,57,,8,200,10.12,2.88,1.16,27.1%,7.7%,18
14,Cole Ragans,KCR,11,8,3.37,29,29,0,0,,164.0,679,135,67,61,18,59,,7,196,10.77,3.22,1.18,28.9%,8.6%,18
15,Yoshinobu Yamamoto,LAD,13,7,3.22,26,26,0,0,,155.0,625,124,60,55,16,51,,7,172,10.04,2.98,1.14,27.6%,8.2%,16
16,Zack Wheeler,PHI,11,6,3.19,24,24,0,0,,149.0,605,121,58,53,18,41,,6,176,10.65,2.48,1.09,29.1%,6.8%,15
17,Jacob deGrom,TEX,11,8,3.41,29,29,0,0,,170.0,683,139,70,64,22,46,,7,185,9.78,2.43,1.09,27.1%,6.7%,17
18,Logan Gilbert,SEA,12,7,3.05,29,29,0,0,,164.0,665,133,61,56,20,39,,6,184,10.10,2.14,1.05,27.7%,5.9%,19
19,George Kirby,SEA,12,8,3.21,31,31,0,0,,172.0,706,152,67,61,20,34,,7,171,8.93,1.77,1.08,24.2%,4.8%,19
20,Dylan Cease,TOR,13,10,3.55,32,32,0,0,,185.0,775,151,80,73,23,73,,8,214,10.38,3.53,1.21,27.6%,9.4%,19
21,Nathan Eovaldi,TEX,11,9,3.65,29,29,0,0,,174.0,719,159,77,71,20,48,,7,166,8.57,2.50,1.19,23.0%,6.7%,17
22,Joe Ryan,MIN,10,9,3.62,29,29,0,0,,168.0,689,146,74,68,25,41,,7,183,9.80,2.19,1.11,26.6%,5.9%,17
23,Drew Rasmussen,TBR,9,9,3.54,31,31,0,0,,159.0,653,142,68,62,17,45,,7,148,8.41,2.57,1.18,22.7%,6.9%,18
24,Jose Soriano,LAA,11,9,3.73,31,31,0,0,,175.0,753,162,79,73,13,77,,8,162,8.36,3.97,1.37,21.6%,10.2%,18
25,Ranger Suarez,BOS,11,10,4.06,29,29,0,0,,170.0,717,169,84,77,19,50,,7,154,8.14,2.66,1.29,21.4%,7.0%,15
26,Tyler Glasnow,LAD,11,7,3.39,24,24,0,0,,135.0,553,107,55,51,16,50,,6,156,10.40,3.37,1.17,28.2%,9.1%,14
27,Chase Burns,CIN,8,4,2.96,31,21,0,1,,115.0,480,88,41,38,14,39,,5,152,11.84,3.07,1.11,31.6%,8.2%,14
28,Kevin Gausman,TOR,12,10,3.94,31,31,0,0,,181.0,759,165,86,79,24,57,,8,176,8.75,2.82,1.23,23.2%,7.5%,17
29,Sandy Alcantara,MIA,11,10,4.05,31,31,0,0,,187.0,784,180,92,84,21,60,,8,161,7.78,2.87,1.28,20.6%,7.6%,17
30,Blake Snell,LAD,11,7,3.33,24,24,0,0,,134.0,562,103,54,49,15,60,,6,166,11.16,4.06,1.22,29.5%,10.7%,15
31,Ryan Pepiot,TBR,10,9,3.73,31,31,0,0,,168.0,705,144,76,70,23,59,,7,177,9.48,3.17,1.21,25.1%,8.4%,17
32,Nick Lodolo,CIN,9,9,3.79,28,28,0,0,,149.0,629,136,68,62,21,42,,6,153,9.28,2.54,1.20,24.3%,6.7%,15
33,Aaron Nola,PHI,12,10,4.06,31,31,0,0,,179.0,747,167,88,81,26,51,,7,173,8.72,2.55,1.22,23.2%,6.8%,16
34,Tanner Bibee,CLE,10,10,3.86,31,31,0,0,,181.0,759,166,85,77,23,54,,8,170,8.46,2.67,1.22,22.4%,7.1%,17
35,Kyle Bradish,BAL,10,8,3.52,26,26,0,0,,137.0,571,120,58,53,15,44,,6,148,9.76,2.92,1.20,25.9%,7.8%,15
36,Shohei Ohtani,LAD,10,6,3.08,23,23,0,0,,114.0,464,87,43,39,13,39,,5,138,10.88,3.09,1.10,29.8%,8.4%,14
37,Emmet Sheehan,LAD,11,4,3.43,42,24,0,1,,145.0,600,115,60,55,20,49,,6,177,11.05,3.08,1.14,29.6%,8.2%,15
38,Jack Flaherty,DET,11,9,3.79,29,29,0,0,,161.0,688,145,74,68,21,56,,7,175,9.79,3.12,1.25,25.4%,8.1%,16
39,MacKenzie Gore,TEX,10,9,3.78,29,29,0,0,,161.0,681,138,74,68,21,62,,7,180,10.06,3.49,1.24,26.4%,9.2%,16
40,Nick Pivetta,SDP,11,9,3.76,29,29,0,0,,174.0,718,146,79,73,25,55,,7,187,9.68,2.86,1.16,26.1%,7.7%,16
41,Quinn Priester,MIL,11,9,3.89,29,29,0,0,,175.0,746,167,83,76,20,56,,8,154,7.93,2.89,1.27,20.7%,7.5%,16
42,Michael King,SDP,10,9,3.71,29,29,0,0,,162.0,685,140,73,67,21,58,,7,171,9.50,3.24,1.23,25.0%,8.5%,16
43,Reid Detmers,LAA,9,5,3.65,34,24,0,1,,147.0,620,126,65,59,19,53,,7,164,10.04,3.25,1.22,26.4%,8.5%,14
44,Grayson Rodriguez,LAA,8,6,3.41,23,23,0,0,,120.0,509,103,50,46,15,40,,5,137,10.25,3.00,1.19,26.9%,7.9%,14
45,Spencer Strider,ATL,11,9,3.80,28,28,0,0,,156.0,654,134,72,66,21,56,,7,179,10.30,3.23,1.21,27.4%,8.6%,15
46,Mitch Keller,PIT,11,10,4.18,31,31,0,0,,174.0,746,174,88,81,22,52,,8,154,7.99,2.71,1.31,20.7%,7.0%,16
47,Shane Smith,CHW,8,10,4.09,29,29,0,0,,161.0,679,146,80,73,19,63,,7,154,8.60,3.53,1.30,22.6%,9.3%,15
48,Joe Musgrove,SDP,10,9,3.77,28,28,0,0,,155.0,654,143,71,65,21,42,,6,148,8.58,2.42,1.19,22.7%,6.4%,16
49,Freddy Peralta,NYM,11,9,3.74,29,29,0,0,,163.0,684,136,74,68,22,62,,7,178,9.85,3.40,1.22,26.1%,9.0%,16
50,Gavin Williams,CLE,9,10,3.86,31,31,0,0,,167.0,711,146,78,72,19,72,,8,172,9.26,3.89,1.31,24.1%,10.1%,17
51,Gerrit Cole,NYY,10,7,3.59,23,23,0,0,,134.0,556,114,58,54,18,41,,6,143,9.60,2.72,1.15,25.7%,7.3%,13
52,Trey Yesavage,TOR,9,5,3.39,36,24,0,1,,134.0,563,104,55,50,16,58,,6,163,10.99,3.93,1.22,29.0%,10.4%,14
53,Brady Singer,CIN,10,11,4.32,31,31,0,0,,168.0,721,164,88,81,24,56,,7,154,8.27,3.01,1.31,21.4%,7.8%,15
54,Eury Perez,MIA,8,8,3.59,28,28,0,0,,133.0,552,109,58,53,18,46,,6,150,10.15,3.15,1.17,27.1%,8.4%,16
55,Yusei Kikuchi,LAA,10,10,4.09,31,31,0,0,,168.0,723,156,83,76,24,60,,8,168,9.02,3.23,1.29,23.3%,8.3%,16
56,Braxton Ashcraft,PIT,9,4,3.73,45,23,0,1,,147.0,627,139,67,61,15,49,,6,139,8.50,2.98,1.28,22.2%,7.8%,14
57,Cody Ponce,TOR,9,9,4.03,49,21,0,1,,164.0,689,155,79,73,22,48,,7,161,8.85,2.67,1.24,23.3%,7.0%,12
58,Kris Bubic,KCR,9,6,4.08,34,24,0,1,,147.0,622,144,73,67,16,48,,6,136,8.33,2.94,1.31,21.8%,7.7%,13
59,David Peterson,NYM,12,9,3.97,29,29,0,0,,164.0,709,157,79,72,17,64,,8,145,7.98,3.49,1.35,20.5%,9.0%,16
60,Edward Cabrera,CHC,9,8,3.61,26,26,0,0,,137.0,575,114,60,55,15,57,,6,150,9.87,3.77,1.26,26.0%,9.9%,15
61,Zac Gallen,ARI,10,11,4.21,31,31,0,0,,181.0,764,175,92,85,23,60,,8,166,8.27,2.96,1.30,21.8%,7.8%,16
62,Luis Castillo,SEA,12,10,3.79,31,31,0,0,,178.0,744,159,82,75,24,52,,8,167,8.47,2.65,1.19,22.5%,7.0%,17
63,Clay Holmes,NYM,11,9,3.79,28,28,0,0,,150.0,652,141,69,63,13,60,,7,131,7.85,3.62,1.34,20.1%,9.3%,16
64,Nolan McLean,NYM,11,8,3.69,26,26,0,0,,145.0,622,128,65,59,15,61,,7,144,8.96,3.81,1.31,23.1%,9.8%,15
65,Shane McClanahan,TBR,8,8,3.92,24,24,0,0,,141.0,574,122,67,61,18,48,,6,133,8.50,3.07,1.21,23.1%,8.4%,13
